Decimal,Hex Time,SCET,SSR-A-SBE,SSR-A-DBE,SSR-B-SBE,SSR-B-DBE,,
1561688404,5D157954,2007-179T01,3089,13,1948,3,-5.11507023,148661.5069
1492212004,58F15924,2005-104T22,1949,5,1911,4,6.75177003,169790.2156
1492208404,58F14B14,2005-104T21,1864,4,1788,5,8.04533554,194728.1833
1492215604,58F16734,2005-104T23,1904,4,1734,10,3.91554918,157151.2826
1575357199,5DE60B0F,2007-337T06,1853,5,1688,3,-3.8085358,175866.0206
1560298804,5D004534,2007-162T23,2629,18,1502,2,-6.86135935,187328.1001
1504610404,59AE8864,2005-248T10,1609,4,1494,7,9.17637718,189937.9705
1575360799,5DE6191F,2007-337T07,1565,2,1471,2,-1.12948606,156891.4172
1504614004,59AE9674,2005-248T11,1322,7,1188,2,4.06146282,171343.3528
1561677604,5D154F24,2007-178T22,2191,21,1081,2,-2.10028763,210794.2083
1561681204,5D155D34,2007-178T23,2270,9,1054,3,-3.43985376,179031.861
1575353599,5DE5FCFF,2007-337T05,916,6,901,4,-5.391584,204975.7993
1575364399,5DE6272F,2007-337T08,825,2,712,2,2.17221195,153973.2538
1467346804,5775EF74,2004-183T03,670,2,651,1,-8.85981278,84932.50116
1560302404,5D005344,2007-163T00,1669,12,639,3,-1.56352871,169911.8861
1467332404,5775B734,2004-182T23,603,0,625,1,1.98439745,258306.2373
1560295204,5D003724,2007-162T22,747,18,260,2,-10.37675658,213879.5399
1558912804,5CEB1F24,2007-146T22,402,20,249,0,-8.68069085,224984.877
1582222399,5E4ECC3F,2008-051T17,243,0,229,0,-10.80627189,223509.0612
1581185599,5E3EFA3F,2008-039T17,224,0,225,0,-11.07319592,224059.6229
1561692004,5D158764,2007-179T02,2638,20,216,0,-4.22778102,159934.6226
1576725199,5DFAEACF,2007-353T02,199,0,207,0,-10.50124557,231797.5624
1492204804,58F13D04,2005-104T20,293,0,205,0,8.31514123,226394.4424
1504606804,59AE7A54,2005-248T09,287,4,203,0,12.32221538,217153.3687
1507778404,59DEDF64,2005-285T02,219,0,203,0,5.43695527,182593.4361
1580155999,5E2F445F,2008-027T19,217,1,197,0,-4.41843613,211894.8316
1467350404,5775FD84,2004-183T04,241,2,186,0,-0.28705327,128282.6447
1561684804,5D156B44,2007-179T00,1491,2,182,0,-4.70955884,156054.5183
1558916404,5CEB2D34,2007-146T23,276,17,181,0,-2.13932769,206477.7971
1506208804,59C6EC24,2005-266T22,370,5,172,0,5.58765858,181975.9998
