Decimal,Hex Time,SCET,SSR-A-SBE,SSR-A-DBE,SSR-B-SBE,SSR-B-DBE,
1609290799,5FEBD42F,2009-000T00,27,0,18,1,
1609294399,5FEBE23F,2009-000T01,28,0,13,0,
1609297999,5FEBF04F,2009-000T02,17,0,19,0,
1609301599,5FEBFE5F,2009-000T03,16,0,17,0,
1609305199,5FEC0C6F,2009-000T04,23,0,12,1,
1609308799,5FEC1A7F,2009-000T05,27,0,9,0,
1609312399,5FEC288F,2009-000T06,22,0,24,0,
1609315999,5FEC369F,2009-000T07,26,1,13,0,
1609319599,5FEC44AF,2009-000T08,25,0,11,0,
1609323199,5FEC52BF,2009-000T09,24,0,14,0,
1609326799,5FEC60CF,2009-000T10,28,0,7,0,
1609330399,5FEC6EDF,2009-000T11,18,0,14,0,
1609333999,5FEC7CEF,2009-000T12,21,0,7,0,
1609337599,5FEC8AFF,2009-000T13,18,0,9,0,
1609341199,5FEC990F,2009-000T14,18,0,16,0,
1609344799,5FECA71F,2009-000T15,18,0,13,0,
1609348399,5FECB52F,2009-000T16,32,3,16,0,
1609351999,5FECC33F,2009-000T17,22,1,18,0,
1609355599,5FECD14F,2009-000T18,24,0,22,0,
1609359199,5FECDF5F,2009-000T19,14,0,19,0,
1609362799,5FECED6F,2009-000T20,25,0,23,0,
1609366399,5FECFB7F,2009-000T21,25,0,12,0,
1609369999,5FED098F,2009-000T22,22,0,22,0,
1609373599,5FED179F,2009-000T23,23,0,20,0,APOAPSIS
1609377199,5FED25AF,2009-001T00,24,0,14,0,
1609380799,5FED33BF,2009-001T01,27,0,23,0,
1609384399,5FED41CF,2009-001T02,16,1,13,0,
1609387999,5FED4FDF,2009-001T03,17,0,15,0,
1609391599,5FED5DEF,2009-001T04,21,0,10,1,
1609395199,5FED6BFF,2009-001T05,23,0,18,1,
1609398799,5FED7A0F,2009-001T06,19,0,21,0,
1609402399,5FED881F,2009-001T07,26,0,20,0,
1609405999,5FED962F,2009-001T08,28,0,27,0,
1609409599,5FEDA43F,2009-001T09,19,0,16,0,
1609413199,5FEDB24F,2009-001T10,29,0,16,0,
1609416799,5FEDC05F,2009-001T11,24,1,7,0,
1609420399,5FEDCE6F,2009-001T12,28,1,19,1,
1609423999,5FEDDC7F,2009-001T13,23,1,22,1,
1609427599,5FEDEA8F,2009-001T14,21,0,19,0,
1609431199,5FEDF89F,2009-001T15,25,2,25,0,
1609434799,5FEE06AF,2009-001T16,35,0,10,0,
1609438399,5FEE14BF,2009-001T17,22,1,23,0,
1609441999,5FEE22CF,2009-001T18,29,0,15,1,
1609445599,5FEE30DF,2009-001T19,25,1,11,0,
1609449199,5FEE3EEF,2009-001T20,25,0,10,0,
1609452799,5FEE4CFF,2009-001T21,23,0,18,0,
1609456399,5FEE5B0F,2009-001T22,18,0,19,1,
1609459999,5FEE691F,2009-001T23,31,0,12,0,
1609463599,5FEE772F,2009-002T00,29,0,16,0,
1609467199,5FEE853F,2009-002T01,26,1,14,0,
1609470799,5FEE934F,2009-002T02,20,0,18,0,
1609474399,5FEEA15F,2009-002T03,27,0,34,2,
1609477999,5FEEAF6F,2009-002T04,16,0,22,0,
1609481599,5FEEBD7F,2009-002T05,12,0,12,0,
1609485199,5FEECB8F,2009-002T06,21,0,8,0,
1609488799,5FEED99F,2009-002T07,18,0,22,1,
1609492399,5FEEE7AF,2009-002T08,24,1,19,0,
1609495999,5FEEF5BF,2009-002T09,22,1,6,0,
1609498624,5FEF0000,2009-002T10,0,0,0,0,
1609499599,5FEF03CF,2009-002T10,20,0,13,0,
1609503199,5FEF11DF,2009-002T11,20,1,15,0,
1609506799,5FEF1FEF,2009-002T12,13,0,15,0,
1609510399,5FEF2DFF,2009-002T13,20,0,9,1,
1609513999,5FEF3C0F,2009-002T14,39,0,21,0,
1609517599,5FEF4A1F,2009-002T15,35,0,29,0,
