,,,SSR-A_SBE,SSR-A_DBE,SSR-B_SBE,SSR-B_DBE,
1845767605,6E042DB5,2016-180T00,24,0,27,0,
1845771205,6E043BC5,2016-180T01,21,1,31,0,
1845774805,6E0449D5,2016-180T02,23,0,25,0,
1845778405,6E0457E5,2016-180T03,20,0,32,0,
1845782005,6E0465F5,2016-180T04,17,0,28,0,
1845785605,6E047405,2016-180T05,18,0,26,0,
1845789205,6E048215,2016-180T06,22,0,18,0,
1845792805,6E049025,2016-180T07,11,0,27,0,
1845796405,6E049E35,2016-180T08,18,1,28,0,
1845800005,6E04AC45,2016-180T09,14,0,26,0,
1845803605,6E04BA55,2016-180T10,19,0,28,0,
1845807205,6E04C865,2016-180T11,16,0,29,0,
1845810805,6E04D675,2016-180T12,25,0,28,0,
1845814405,6E04E485,2016-180T13,22,0,26,0,
1845818005,6E04F295,2016-180T14,20,0,34,0,
1845821605,6E0500A5,2016-180T15,24,1,29,0,
1845825205,6E050EB5,2016-180T16,23,0,28,0,
1845828805,6E051CC5,2016-180T17,14,0,32,0,
1845832405,6E052AD5,2016-180T18,17,0,29,0,
1845836005,6E0538E5,2016-180T19,20,0,25,0,
1845839605,6E0546F5,2016-180T20,18,0,29,0,
1845843205,6E055505,2016-180T21,23,0,26,0,
1845846805,6E056315,2016-180T22,13,0,23,1,
1845850405,6E057125,2016-180T23,19,0,24,0,
1845854005,6E057F35,2016-181T00,19,0,34,0,
1845857605,6E058D45,2016-181T01,22,0,31,0,
1845861205,6E059B55,2016-181T02,15,0,21,0,
1845864805,6E05A965,2016-181T03,12,0,30,0,
1845868405,6E05B775,2016-181T04,17,0,18,0,PERIAPSIS
1845872005,6E05C585,2016-181T05,19,1,18,0,
1845875605,6E05D395,2016-181T06,24,0,24,0,
1845879205,6E05E1A5,2016-181T07,20,0,18,0,
1845882805,6E05EFB5,2016-181T08,20,0,16,0,
1845886405,6E05FDC5,2016-181T09,24,0,23,0,
1845890005,6E060BD5,2016-181T10,15,0,17,0,
1845893605,6E0619E5,2016-181T11,21,0,23,0,
1845897205,6E0627F5,2016-181T12,22,0,17,0,
1845900805,6E063605,2016-181T13,10,0,21,1,
1845904405,6E064415,2016-181T14,25,0,15,0,
