	date	edac
0	2004-01-01	25997.0
1	2004-01-02	25998.0
2	2004-01-03	25998.0
3	2004-01-04	25998.0
4	2004-01-05	25998.0
5	2004-01-06	25998.0
6	2004-01-07	25999.0
7	2004-01-08	26000.0
8	2004-01-09	26000.0
9	2004-01-10	26000.0
10	2004-01-11	26001.0
11	2004-01-12	26001.0
12	2004-01-13	26001.0
13	2004-01-14	26001.0
14	2004-01-15	26001.0
15	2004-01-16	26002.0
16	2004-01-17	26002.0
17	2004-01-18	26004.0
18	2004-01-19	26005.0
19	2004-01-20	26006.0
20	2004-01-21	26006.0
21	2004-01-22	26007.0
22	2004-01-23	26007.0
23	2004-01-24	26007.0
24	2004-01-25	26007.0
25	2004-01-26	26008.0
26	2004-01-27	26009.0
27	2004-01-28	26010.0
28	2004-01-29	26011.0
29	2004-01-30	26014.0
30	2004-01-31	26015.0
31	2004-02-01	26016.0
32	2004-02-02	26016.0
33	2004-02-03	26016.0
34	2004-02-04	26016.0
35	2004-02-05	26017.0
36	2004-02-06	26017.0
37	2004-02-07	26020.0
38	2004-02-08	26021.0
39	2004-02-09	26022.0
40	2004-02-10	26023.0
41	2004-02-11	26024.0
42	2004-02-12	26026.0
43	2004-02-13	26027.0
44	2004-02-14	26028.0
45	2004-02-15	26028.0
46	2004-02-16	26030.0
47	2004-02-17	26030.0
48	2004-02-18	26032.0
49	2004-02-19	26033.0
50	2004-02-20	26034.0
51	2004-02-21	26035.0
52	2004-02-22	26035.0
53	2004-02-23	26037.0
54	2004-02-24	26038.0
55	2004-02-25	26039.0
56	2004-02-26	26039.0
57	2004-02-27	26040.0
58	2004-02-28	26042.0
59	2004-02-29	26043.0
60	2004-03-01	26044.0
61	2004-03-02	26044.0
62	2004-03-03	26044.0
63	2004-03-04	26044.0
64	2004-03-05	26044.0
65	2004-03-06	26046.0
66	2004-03-07	26046.0
67	2004-03-08	26046.0
68	2004-03-09	26046.0
69	2004-03-10	26047.0
70	2004-03-11	26048.0
71	2004-03-12	26048.0
72	2004-03-13	26049.0
73	2004-03-14	26049.0
74	2004-03-15	26050.0
75	2004-03-16	26051.0
76	2004-03-17	26053.0
77	2004-03-18	26053.0
78	2004-03-19	26053.0
79	2004-03-20	26053.0
80	2004-03-21	26053.0
81	2004-03-22	26053.0
82	2004-03-23	26054.0
83	2004-03-24	26054.0
84	2004-03-25	26055.0
85	2004-03-26	26056.0
86	2004-03-27	26056.0
87	2004-03-28	26058.0
88	2004-03-29	26058.0
89	2004-03-30	26059.0
90	2004-03-31	26060.0
91	2004-04-01	26063.0
92	2004-04-02	26063.0
93	2004-04-03	26063.0
94	2004-04-04	26064.0
95	2004-04-05	26065.0
96	2004-04-06	26067.0
97	2004-04-07	26069.0
98	2004-04-08	26069.0
99	2004-04-09	26070.0
100	2004-04-10	26071.0
101	2004-04-11	26071.0
102	2004-04-12	26072.0
103	2004-04-13	26073.0
104	2004-04-14	26073.0
105	2004-04-15	26073.0
106	2004-04-16	26073.0
107	2004-04-17	26074.0
108	2004-04-18	26074.0
109	2004-04-19	26076.0
110	2004-04-20	26076.0
111	2004-04-21	26076.0
112	2004-04-22	26076.0
113	2004-04-23	26079.0
114	2004-04-24	26081.0
115	2004-04-25	26081.0
116	2004-04-26	26081.0
117	2004-04-27	26086.0
118	2004-04-28	26089.0
119	2004-04-29	26090.0
120	2004-04-30	26091.0
121	2004-05-01	26092.0
122	2004-05-02	26093.0
123	2004-05-03	26095.0
124	2004-05-04	26096.0
125	2004-05-05	26096.0
126	2004-05-06	26097.0
127	2004-05-07	26097.0
128	2004-05-08	26097.0
129	2004-05-09	26099.0
130	2004-05-10	26099.0
131	2004-05-11	26100.0
132	2004-05-12	26102.0
133	2004-05-13	26104.0
134	2004-05-14	26104.0
135	2004-05-15	26105.0
136	2004-05-16	26106.0
137	2004-05-17	26107.0
138	2004-05-18	26109.0
139	2004-05-19	26110.0
140	2004-05-20	26114.0
141	2004-05-21	26115.0
142	2004-05-22	26116.0
143	2004-05-23	26117.0
144	2004-05-24	26117.0
145	2004-05-25	26118.0
146	2004-05-26	26120.0
147	2004-05-27	26120.0
148	2004-05-28	26121.0
149	2004-05-29	26121.0
150	2004-05-30	26122.0
151	2004-05-31	26124.0
152	2004-06-01	26124.0
153	2004-06-02	26126.0
154	2004-06-03	26127.0
155	2004-06-04	26128.0
156	2004-06-05	26130.0
157	2004-06-06	26133.0
158	2004-06-07	26133.0
159	2004-06-08	26134.0
160	2004-06-09	26134.0
161	2004-06-10	26135.0
162	2004-06-11	26135.0
163	2004-06-12	26135.0
164	2004-06-13	26137.0
165	2004-06-14	26138.0
166	2004-06-15	26140.0
167	2004-06-16	26142.0
168	2004-06-17	26142.0
169	2004-06-18	26143.0
170	2004-06-19	26143.0
171	2004-06-20	26144.0
172	2004-06-21	26144.0
173	2004-06-22	26144.0
174	2004-06-23	26144.0
175	2004-06-24	26145.0
176	2004-06-25	26146.0
177	2004-06-26	26146.0
178	2004-06-27	26147.0
179	2004-06-28	26147.0
180	2004-06-29	26147.0
181	2004-06-30	26149.0
182	2004-07-01	26149.0
183	2004-07-02	26150.0
184	2004-07-03	26152.0
185	2004-07-04	26153.0
186	2004-07-05	26154.0
187	2004-07-06	26154.0
188	2004-07-07	26156.0
189	2004-07-08	26156.0
190	2004-07-09	26157.0
191	2004-07-10	26157.0
192	2004-07-11	26158.0
193	2004-07-12	26158.0
194	2004-07-13	26159.0
195	2004-07-14	26159.0
196	2004-07-15	26159.0
197	2004-07-16	26160.0
198	2004-07-17	26161.0
199	2004-07-18	26161.0
200	2004-07-19	26161.0
201	2004-07-20	26164.0
202	2004-07-21	26164.0
203	2004-07-22	26165.0
204	2004-07-23	26167.0
205	2004-07-24	26167.0
206	2004-07-25	26168.0
207	2004-07-26	26168.0
208	2004-07-27	26169.0
209	2004-07-28	26169.0
210	2004-07-29	26169.0
211	2004-07-30	26170.0
212	2004-07-31	26170.0
213	2004-08-01	26173.0
214	2004-08-02	26174.0
215	2004-08-03	26175.0
216	2004-08-04	26175.0
217	2004-08-05	26175.0
218	2004-08-06	26175.0
219	2004-08-07	26175.0
220	2004-08-08	26175.0
221	2004-08-09	26176.0
222	2004-08-10	26177.0
223	2004-08-11	26178.0
224	2004-08-12	26178.0
225	2004-08-13	26178.0
226	2004-08-14	26178.0
227	2004-08-15	26179.0
228	2004-08-16	26179.0
229	2004-08-17	26179.0
230	2004-08-18	26179.0
231	2004-08-19	26179.0
232	2004-08-20	26179.0
233	2004-08-21	26179.0
234	2004-08-22	26181.0
235	2004-08-23	26181.0
236	2004-08-24	26181.0
237	2004-08-25	26182.0
238	2004-08-26	26182.0
239	2004-08-27	26182.0
240	2004-08-28	26183.0
241	2004-08-29	26184.0
242	2004-08-30	26184.0
243	2004-08-31	26186.0
244	2004-09-01	26187.0
245	2004-09-02	26188.0
246	2004-09-03	26188.0
247	2004-09-04	26190.0
248	2004-09-05	26190.0
249	2004-09-06	26192.0
250	2004-09-07	26192.0
251	2004-09-08	26193.0
252	2004-09-09	26194.0
253	2004-09-10	26194.0
254	2004-09-11	26194.0
255	2004-09-12	26195.0
256	2004-09-13	26196.0
257	2004-09-14	26197.0
258	2004-09-15	26197.0
259	2004-09-16	26197.0
260	2004-09-17	26198.0
261	2004-09-18	26199.0
262	2004-09-19	26201.0
263	2004-09-20	26201.0
264	2004-09-21	26201.0
265	2004-09-22	26202.0
266	2004-09-23	26203.0
267	2004-09-24	26203.0
268	2004-09-25	26204.0
269	2004-09-26	26205.0
270	2004-09-27	26205.0
