date	edac
2004-01-01	25997.0
2004-01-02	25998.0
2004-01-03	25998.0
2004-01-04	25998.0
2004-01-05	25998.0
2004-01-06	25998.0
2004-01-07	25999.0
2004-01-08	26000.0
2004-01-09	26000.0
2004-01-10	26000.0
2004-01-11	26001.0
2004-01-12	26001.0
2004-01-13	26001.0
2004-01-14	26001.0
2004-01-15	26001.0
2004-01-16	26002.0
2004-01-17	26002.0
2004-01-18	26004.0
2004-01-19	26005.0
2004-01-20	26006.0
2004-01-21	26006.0
2004-01-22	26007.0
2004-01-23	26007.0
2004-01-24	26007.0
2004-01-25	26007.0
2004-01-26	26008.0
2004-01-27	26009.0
2004-01-28	26010.0
2004-01-29	26011.0
2004-01-30	26014.0
2004-01-31	26015.0
2004-02-01	26016.0
2004-02-02	26016.0
2004-02-03	26016.0
2004-02-04	26016.0
2004-02-05	26017.0
2004-02-06	26017.0
2004-02-07	26020.0
2004-02-08	26021.0
2004-02-09	26022.0
2004-02-10	26023.0
2004-02-11	26024.0
2004-02-12	26026.0
2004-02-13	26027.0
2004-02-14	26028.0
2004-02-15	26028.0
2004-02-16	26030.0
2004-02-17	26030.0
2004-02-18	26032.0
2004-02-19	26033.0
2004-02-20	26034.0
2004-02-21	26035.0
2004-02-22	26035.0
2004-02-23	26037.0
2004-02-24	26038.0
2004-02-25	26039.0
2004-02-26	26039.0
2004-02-27	26040.0
2004-02-28	26042.0
2004-02-29	26043.0
2004-03-01	26044.0
2004-03-02	26044.0
2004-03-03	26044.0
2004-03-04	26044.0
2004-03-05	26044.0
2004-03-06	26046.0
2004-03-07	26046.0
2004-03-08	26046.0
2004-03-09	26046.0
2004-03-10	26047.0
2004-03-11	26048.0
2004-03-12	26048.0
2004-03-13	26049.0
2004-03-14	26049.0
2004-03-15	26050.0
2004-03-16	26051.0
2004-03-17	26053.0
2004-03-18	26053.0
2004-03-19	26053.0
2004-03-20	26053.0
2004-03-21	26053.0
2004-03-22	26053.0
2004-03-23	26054.0
2004-03-24	26054.0
2004-03-25	26055.0
2004-03-26	26056.0
2004-03-27	26056.0
2004-03-28	26058.0
2004-03-29	26058.0
2004-03-30	26059.0
2004-03-31	26060.0
2004-04-01	26063.0
2004-04-02	26063.0
2004-04-03	26063.0
2004-04-04	26064.0
2004-04-05	26065.0
2004-04-06	26067.0
2004-04-07	26069.0
2004-04-08	26069.0
2004-04-09	26070.0
2004-04-10	26071.0
2004-04-11	26071.0
2004-04-12	26072.0
2004-04-13	26073.0
2004-04-14	26073.0
2004-04-15	26073.0
2004-04-16	26073.0
2004-04-17	26074.0
2004-04-18	26074.0
2004-04-19	26076.0
2004-04-20	26076.0
2004-04-21	26076.0
2004-04-22	26076.0
2004-04-23	26079.0
2004-04-24	26081.0
2004-04-25	26081.0
2004-04-26	26081.0
2004-04-27	26086.0
2004-04-28	26089.0
2004-04-29	26090.0
2004-04-30	26091.0
2004-05-01	26092.0
2004-05-02	26093.0
2004-05-03	26095.0
2004-05-04	26096.0
2004-05-05	26096.0
2004-05-06	26097.0
2004-05-07	26097.0
2004-05-08	26097.0
2004-05-09	26099.0
2004-05-10	26099.0
2004-05-11	26100.0
2004-05-12	26102.0
2004-05-13	26104.0
2004-05-14	26104.0
2004-05-15	26105.0
2004-05-16	26106.0
2004-05-17	26107.0
2004-05-18	26109.0
2004-05-19	26110.0
2004-05-20	26114.0
2004-05-21	26115.0
2004-05-22	26116.0
2004-05-23	26117.0
2004-05-24	26117.0
2004-05-25	26118.0
2004-05-26	26120.0
2004-05-27	26120.0
2004-05-28	26121.0
2004-05-29	26121.0
2004-05-30	26122.0
2004-05-31	26124.0
2004-06-01	26124.0
2004-06-02	26126.0
2004-06-03	26127.0
2004-06-04	26128.0
2004-06-05	26130.0
2004-06-06	26133.0
2004-06-07	26133.0
2004-06-08	26134.0
2004-06-09	26134.0
2004-06-10	26135.0
2004-06-11	26135.0
2004-06-12	26135.0
2004-06-13	26137.0
2004-06-14	26138.0
2004-06-15	26140.0
2004-06-16	26142.0
2004-06-17	26142.0
2004-06-18	26143.0
2004-06-19	26143.0
2004-06-20	26144.0
2004-06-21	26144.0
2004-06-22	26144.0
2004-06-23	26144.0
2004-06-24	26145.0
2004-06-25	26146.0
2004-06-26	26146.0
2004-06-27	26147.0
2004-06-28	26147.0
2004-06-29	26147.0
2004-06-30	26149.0
2004-07-01	26149.0
2004-07-02	26150.0
2004-07-03	26152.0
2004-07-04	26153.0
2004-07-05	26154.0
2004-07-06	26154.0
2004-07-07	26156.0
2004-07-08	26156.0
2004-07-09	26157.0
2004-07-10	26157.0
2004-07-11	26158.0
2004-07-12	26158.0
2004-07-13	26159.0
2004-07-14	26159.0
2004-07-15	26159.0
2004-07-16	26160.0
2004-07-17	26161.0
2004-07-18	26161.0
2004-07-19	26161.0
2004-07-20	26164.0
2004-07-21	26164.0
2004-07-22	26165.0
2004-07-23	26167.0
2004-07-24	26167.0
2004-07-25	26168.0
2004-07-26	26168.0
2004-07-27	26169.0
2004-07-28	26169.0
2004-07-29	26169.0
2004-07-30	26170.0
2004-07-31	26170.0
2004-08-01	26173.0
2004-08-02	26174.0
2004-08-03	26175.0
2004-08-04	26175.0
2004-08-05	26175.0
2004-08-06	26175.0
2004-08-07	26175.0
2004-08-08	26175.0
2004-08-09	26176.0
2004-08-10	26177.0
2004-08-11	26178.0
2004-08-12	26178.0
2004-08-13	26178.0
2004-08-14	26178.0
2004-08-15	26179.0
2004-08-16	26179.0
2004-08-17	26179.0
2004-08-18	26179.0
2004-08-19	26179.0
2004-08-20	26179.0
2004-08-21	26179.0
2004-08-22	26181.0
2004-08-23	26181.0
2004-08-24	26181.0
2004-08-25	26182.0
2004-08-26	26182.0
2004-08-27	26182.0
2004-08-28	26183.0
2004-08-29	26184.0
2004-08-30	26184.0
2004-08-31	26186.0
2004-09-01	26187.0
2004-09-02	26188.0
2004-09-03	26188.0
2004-09-04	26190.0
2004-09-05	26190.0
2004-09-06	26192.0
2004-09-07	26192.0
2004-09-08	26193.0
2004-09-09	26194.0
2004-09-10	26194.0
2004-09-11	26194.0
2004-09-12	26195.0
2004-09-13	26196.0
2004-09-14	26197.0
2004-09-15	26197.0
2004-09-16	26197.0
2004-09-17	26198.0
2004-09-18	26199.0
2004-09-19	26201.0
2004-09-20	26201.0
2004-09-21	26201.0
2004-09-22	26202.0
2004-09-23	26203.0
2004-09-24	26203.0
2004-09-25	26204.0
2004-09-26	26205.0
2004-09-27	26205.0
2004-09-28	26205.0
2004-09-29	26205.0
2004-09-30	26207.0
2004-10-01	26207.0
2004-10-02	26208.0
2004-10-03	26209.0
2004-10-04	26210.0
2004-10-05	26211.0
2004-10-06	26211.0
2004-10-07	26211.0
2004-10-08	26211.0
2004-10-09	26213.0
2004-10-10	26214.0
2004-10-11	26216.0
2004-10-12	26216.0
2004-10-13	26216.0
2004-10-14	26218.0
2004-10-15	26221.0
2004-10-16	26221.0
2004-10-17	26221.0
2004-10-18	26221.0
2004-10-19	26222.0
2004-10-20	26222.0
2004-10-21	26222.0
2004-10-22	26226.0
2004-10-23	26228.0
2004-10-24	26228.0
2004-10-25	26229.0
2004-10-26	26231.0
2004-10-27	26233.0
2004-10-28	26234.0
2004-10-29	26235.0
2004-10-30	26236.0
2004-10-31	26237.0
2004-11-01	26239.0
2004-11-02	26241.0
2004-11-03	26242.0
2004-11-04	26242.0
2004-11-05	26243.0
2004-11-06	26244.0
2004-11-07	26244.0
2004-11-08	26246.0
2004-11-09	26246.0
2004-11-10	26246.0
2004-11-11	26248.0
2004-11-12	26250.0
2004-11-13	26251.0
2004-11-14	26251.0
2004-11-15	26254.0
2004-11-16	26257.0
2004-11-17	26258.0
2004-11-18	26258.0
2004-11-19	26260.0
2004-11-20	26261.0
2004-11-21	26262.0
2004-11-22	26263.0
2004-11-23	26263.0
2004-11-24	26264.0
2004-11-25	26265.0
2004-11-26	26266.0
2004-11-27	26266.0
2004-11-28	26266.0
2004-11-29	26266.0
2004-11-30	26267.0
2004-12-01	26268.0
2004-12-02	26268.0
2004-12-03	26268.0
2004-12-04	26269.0
2004-12-05	26269.0
2004-12-06	26270.0
2004-12-07	26271.0
2004-12-08	26271.0
2004-12-09	26272.0
2004-12-10	26273.0
2004-12-11	26273.0
2004-12-12	26275.0
2004-12-13	26276.0
2004-12-14	26276.0
2004-12-15	26276.0
2004-12-16	26276.0
2004-12-17	26279.0
2004-12-18	26280.0
2004-12-19	26282.0
2004-12-20	26282.0
2004-12-21	26282.0
2004-12-22	26283.0
2004-12-23	26283.0
2004-12-24	26284.0
2004-12-25	26285.0
2004-12-26	26287.0
2004-12-27	26288.0
2004-12-28	26289.0
2004-12-29	26291.0
2004-12-30	26292.0
2004-12-31	26293.0
2005-01-01	26294.0
2005-01-02	26294.0
2005-01-03	26295.0
2005-01-04	26296.0
2005-01-05	26298.0
2005-01-06	26298.0
2005-01-07	26299.0
2005-01-08	26299.0
2005-01-09	26301.0
2005-01-10	26301.0
2005-01-11	26301.0
2005-01-12	26301.0
2005-01-13	26302.0
2005-01-14	26302.0
2005-01-15	26302.0
2005-01-16	26302.0
2005-01-17	26302.0
2005-01-18	26302.0
2005-01-19	26303.0
2005-01-20	26303.0
2005-01-21	26304.0
2005-01-22	26305.0
2005-01-23	26305.0
2005-01-24	26307.0
2005-01-25	26307.0
2005-01-26	26308.0
2005-01-27	26312.0
2005-01-28	26313.0
2005-01-29	26313.0
2005-01-30	26313.0
2005-01-31	26313.0
2005-02-01	26314.0
2005-02-02	26314.0
2005-02-03	26315.0
2005-02-04	26316.0
2005-02-05	26318.0
2005-02-06	26318.0
2005-02-07	26320.0
2005-02-08	26322.0
2005-02-09	26322.0
2005-02-10	26324.0
2005-02-11	26325.0
2005-02-12	26327.0
2005-02-13	26328.0
2005-02-14	26331.0
2005-02-15	26331.0
2005-02-16	26331.0
2005-02-17	26333.0
2005-02-18	26334.0
2005-02-19	26334.0
2005-02-20	26334.0
2005-02-21	26334.0
2005-02-22	26335.0
2005-02-23	26336.0
2005-02-24	26336.0
2005-02-25	26336.0
2005-02-26	26340.0
2005-02-27	26342.0
2005-02-28	26342.0
2005-03-01	26342.0
2005-03-02	26342.0
2005-03-03	26342.0
2005-03-04	26342.0
2005-03-05	26343.0
2005-03-06	26346.0
2005-03-07	26348.0
2005-03-08	26349.0
2005-03-09	26350.0
2005-03-10	26351.0
2005-03-11	26351.0
2005-03-12	26353.0
2005-03-13	26353.0
2005-03-14	26355.0
2005-03-15	26357.0
2005-03-16	26359.0
2005-03-17	26360.0
2005-03-18	26361.0
2005-03-19	26363.0
2005-03-20	26365.0
2005-03-21	26367.0
2005-03-22	26369.0
2005-03-23	26370.0
2005-03-24	26371.0
2005-03-25	26371.0
2005-03-26	26371.0
2005-03-27	26371.0
2005-03-28	26372.0
2005-03-29	26373.0
2005-03-30	26373.0
2005-03-31	26373.0
2005-04-01	26374.0
2005-04-02	26375.0
2005-04-03	26376.0
2005-04-04	26376.0
2005-04-05	26377.0
2005-04-06	26378.0
2005-04-07	26379.0
2005-04-08	26381.0
2005-04-09	26383.0
2005-04-10	26384.0
2005-04-11	26385.0
2005-04-12	26389.0
2005-04-13	26391.0
2005-04-14	26391.0
2005-04-15	26392.0
2005-04-16	26392.0
2005-04-17	26395.0
2005-04-18	26395.0
2005-04-19	26395.0
2005-04-20	26397.0
2005-04-21	26398.0
2005-04-22	26400.0
2005-04-23	26402.0
2005-04-24	26403.0
2005-04-25	26403.0
2005-04-26	26404.0
2005-04-27	26405.0
2005-04-28	26407.0
2005-04-29	26407.0
2005-04-30	26407.0
2005-05-01	26408.0
2005-05-02	26408.0
2005-05-03	26410.0
2005-05-04	26411.0
2005-05-05	26411.0
2005-05-06	26412.0
2005-05-07	26412.0
2005-05-08	26412.0
2005-05-09	26412.0
2005-05-10	26412.0
2005-05-11	26412.0
2005-05-12	26412.0
2005-05-13	26413.0
2005-05-14	26416.0
2005-05-15	26416.0
2005-05-16	26416.0
2005-05-17	26417.0
2005-05-18	26418.0
2005-05-19	26420.0
2005-05-20	26421.0
2005-05-21	26422.0
2005-05-22	26422.0
2005-05-23	26422.0
2005-05-24	26423.0
2005-05-25	26424.0
2005-05-26	26425.0
2005-05-27	26426.0
2005-05-28	26427.0
2005-05-29	26429.0
2005-05-30	26431.0
2005-05-31	26432.0
2005-06-01	26432.0
2005-06-02	26435.0
2005-06-03	26435.0
2005-06-04	26436.0
2005-06-05	26439.0
2005-06-06	26439.0
2005-06-07	26441.0
2005-06-08	26441.0
2005-06-09	26441.0
2005-06-10	26441.0
2005-06-11	26442.0
2005-06-12	26442.0
2005-06-13	26444.0
2005-06-14	26444.0
2005-06-15	26445.0
2005-06-16	26446.0
2005-06-17	26447.0
2005-06-18	26448.0
2005-06-19	26450.0
2005-06-20	26450.0
2005-06-21	26452.0
2005-06-22	26452.0
2005-06-23	26452.0
2005-06-24	26452.0
2005-06-25	26452.0
2005-06-26	26455.0
2005-06-27	26456.0
2005-06-28	26457.0
2005-06-29	26458.0
2005-06-30	26459.0
2005-07-01	26460.0
2005-07-02	26461.0
2005-07-03	26461.0
2005-07-04	26461.0
2005-07-05	26461.0
2005-07-06	26461.0
2005-07-07	26462.0
2005-07-08	26465.0
2005-07-09	26466.0
2005-07-10	26471.0
2005-07-11	26471.0
2005-07-12	26473.0
2005-07-13	26473.0
2005-07-14	26473.0
2005-07-15	26473.0
2005-07-16	26473.0
2005-07-17	26473.0
2005-07-18	26473.0
2005-07-19	26474.0
2005-07-20	26475.0
2005-07-21	26478.0
2005-07-22	26479.0
2005-07-23	26481.0
2005-07-24	26481.0
2005-07-25	26482.0
2005-07-26	26482.0
2005-07-27	26482.0
2005-07-28	26484.0
2005-07-29	26485.0
2005-07-30	26485.0
2005-07-31	26487.0
2005-08-01	26487.0
2005-08-02	26488.0
2005-08-03	26488.0
2005-08-04	26488.0
2005-08-05	26488.0
2005-08-06	26488.0
2005-08-07	26491.0
2005-08-08	26492.0
2005-08-09	26492.0
2005-08-10	26493.0
2005-08-11	26493.0
2005-08-12	26495.0
